Kategoria: Wszystko

Kraj,Barbie: (Od 1.01.2004 do 9.12.2025)
Peru,100
Rumunia,99
Mołdawia,96
Algieria,90
Wenezuela,83
Wyspy Świętego Tomasza i Książęca,82
Azerbejdżan,70
Brazylia,69
Wallis i Futuna,61
Pakistan,61
Turcja,58
Iran,56
Maroko,54
Urugwaj,54
Syria,52
Macedonia Północna,52
Nikaragua,52
Bośnia i Hercegowina,51
Palestyna,51
Armenia,51
Dominikana,50
Tunezja,48
Ekwador,48
Kosowo,47
Argentyna,46
Meksyk,45
Majotta,45
Saint Vincent i Grenadyny,45
Madagaskar,44
Panama,44
Albania,43
Irak,43
Kolumbia,43
Jordania,43
Republika Zielonego Przylądka,42
Paragwaj,41
Chile,41
Kazachstan,41
Gujana,41
Egipt,40
Mongolia,40
Gujana Francuska,39
Bułgaria,39
Kuba,39
Honduras,37
Boliwia,37
Gwatemala,36
Bhutan,36
Bahrajn,36
Salwador,35
Anguilla,35
Malediwy,34
Gruzja,33
Kirgistan,32
Kongo,32
Malta,32
Kostaryka,32
Wyspy Marshalla,31
Surinam,31
Komory,31
Libia,31
Gwinea Równikowa,30
Gabon,30
Serbia,30
Dominika,29
Polska,29
Senegal,29
Turkmenistan,29
Filipiny,29
Tonga,29
Portoryko,28
Barbados,28
Grecja,27
Węgry,27
Seszele,27
Angola,27
Kuwejt,27
Cypr,26
Reunion,26
Słowacja,26
Montserrat,26
Timor Wschodni,26
Mikronezja,25
Portugalia,25
Ukraina,25
Polinezja Francuska,25
Mauritius,25
Chorwacja,24
Nauru,24
Liban,24
Jamajka,24
Martynika,24
Aruba,24
Czarnogóra,24
Zjednoczone Emiraty Arabskie,24
Brunei,23
Togo,23
Belize,23
Gwadelupa,23
Grenada,23
Katar,23
Izrael,23
Haiti,23
Bahamy,23
Mauretania,22
Saint Lucia,22
Tadżykistan,22
Trynidad i Tobago,21
Saint-Pierre i Miquelon,21
Wyspy Cooka,21
Mozambik,21
Gwinea Bissau,21
Saint-Martin,21
Tajlandia,21
Curaçao,20
Kiribati,20
Słowenia,20
Litwa,20
Hiszpania,20
Antigua i Barbuda,20
Mariany Północne,20
Malezja,20
Sint Maarten,20
Indonezja,19
Nowa Kaledonia,19
Rosja,19
Australia,19
Saint Kitts i Nevis,19
Arabia Saudyjska,18
Francja,18
Afganistan,18
Fidżi,18
Samoa Amerykańskie,18
Białoruś,18
Łotwa,18
Kamerun,18
Botswana,18
Namibia,17
Dżibuti,17
Indie,17
Oman,17
Nowa Zelandia,17
Belgia,17
Vanuatu,17
Włochy,17
Brytyjskie Wyspy Dziewicze,17
Sri Lanka,17
Stany Zjednoczone,17
Côte d’Ivoire,17
Uzbekistan,17
Kanada,16
Guam,16
Wyspy Dziewicze Stanów Zjednoczonych,16
Demokratyczna Republika Konga,16
Wielka Brytania,16
Czechy,16
Gwinea,16
Mali,15
Kajmany,15
Andora,15
San Marino,15
Wyspy Owcze,15
Turks i Caicos,15
Niderlandy Karaibskie,15
Wyspy Salomona,14
Estonia,14
Gibraltar,14
Sierra Leone,14
Szwajcaria,14
Republika Południowej Afryki,14
Austria,14
Finlandia,14
Mjanma (Birma),14
Niemcy,14
Niger,14
Bermudy,13
Holandia,13
Sahara Zachodnia,13
Benin,13
Islandia,13
Monako,13
Dania,12
Samoa,12
Szwecja,12
Irlandia,12
Laos,12
Saint-Barthélemy,12
Norwegia,12
Luksemburg,12
Wyspa Świętej Heleny,12
Zimbabwe,12
Liberia,12
Jemen,12
Eswatini,11
Liechtenstein,11
Republika Środkowoafrykańska,11
Palau,11
Burundi,11
Wyspa Man,11
Nepal,11
Falklandy (Malwiny),11
Grenlandia,10
Bangladesz,10
Sudan,10
Nigeria,10
Zambia,10
Wyspy Alandzkie,10
Jersey,9
Singapur,9
Ghana,9
Guernsey,9
Gambia,9
Lesotho,9
Svalbard i Jan Mayen,9
Wietnam,8
Papua-Nowa Gwinea,8
Malawi,7
Burkina Faso,7
Kambodża,7
Hongkong,6
Kenia,6
Czad,6
Uganda,5
Makau,5
Tanzania,5
Rwanda,5
Etiopia,4
Somalia,3
Tajwan,3
Erytrea,3
Sudan Południowy,2
Korea Południowa,2
Japonia,2
Chiny,2
Norfolk,
Wyspy Heard i McDonalda,
Watykan,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Brytyjskie Terytorium Oceanu Indyjskiego,
Wyspa Bouveta,
Pitcairn,
Tuvalu,
Francuskie Terytoria Południowe i Antarktyczne,
Antarktyda,
Niue,
Wyspy Kokosowe,
Wyspa Bożego Narodzenia,
Georgia Południowa i Sandwich Południowy,
Korea Północna,
Tokelau,
