Kategoria: Wszystko

Kraj,Barbie: (Od 1.01.2021 do 30.11.2025),Oppenheimer: (Od 1.01.2021 do 30.11.2025)
Wyspy Owcze,39%,61%
Irlandia,46%,54%
Węgry,41%,59%
Kanada,52%,48%
Australia,52%,48%
Norwegia,37%,63%
Singapur,38%,62%
Stany Zjednoczone,52%,48%
Islandia,43%,57%
Nowa Zelandia,50%,50%
Czechy,39%,61%
Wielka Brytania,48%,52%
Gibraltar,38%,62%
Chile,45%,55%
Portoryko,56%,44%
Włochy,40%,60%
Mariany Północne,60%,40%
Polska,36%,64%
Portugalia,45%,55%
Hongkong,28%,72%
Dania,43%,57%
Sri Lanka,36%,64%
Guam,54%,46%
Chiny,23%,77%
Finlandia,41%,59%
Jersey,48%,52%
Grenlandia,37%,63%
Hiszpania,43%,57%
Wyspy Alandzkie,39%,61%
Holandia,38%,62%
Wyspa Man,48%,52%
Szwecja,41%,59%
Saint-Martin,57%,43%
Chorwacja,41%,59%
Malta,43%,57%
Litwa,37%,63%
Armenia,42%,58%
Kostaryka,48%,52%
Słowacja,37%,63%
Seszele,57%,43%
Azerbejdżan,42%,58%
Cypr,44%,56%
Gruzja,39%,61%
Turcja,36%,64%
Rumunia,41%,59%
Urugwaj,47%,53%
Czarnogóra,43%,57%
Zjednoczone Emiraty Arabskie,44%,56%
Niemcy,44%,56%
Guernsey,55%,45%
Belize,66%,34%
Szwajcaria,45%,55%
Luksemburg,43%,57%
Trynidad i Tobago,60%,40%
Austria,43%,57%
Nepal,24%,76%
Saint Kitts i Nevis,72%,28%
Serbia,40%,60%
Grecja,43%,57%
Estonia,40%,60%
Argentyna,47%,53%
Belgia,42%,58%
Brunei,51%,49%
Mauritius,53%,47%
Meksyk,49%,51%
San Marino,39%,61%
Izrael,49%,51%
Francja,46%,54%
Ukraina,48%,52%
Kosowo,55%,45%
Salwador,53%,47%
Kazachstan,47%,53%
Malediwy,46%,54%
Kuba,59%,41%
Białoruś,50%,50%
Wyspy Marshalla,100%,
Polinezja Francuska,59%,41%
Wyspy Dziewicze Stanów Zjednoczonych,53%,47%
Andora,39%,61%
Rosja,52%,48%
Indie,29%,71%
Brazylia,52%,48%
Panama,50%,50%
Łotwa,42%,58%
Liban,50%,50%
Gujana,66%,34%
Paragwaj,48%,52%
Honduras,52%,48%
Kirgistan,60%,40%
Albania,53%,47%
Katar,41%,59%
Mongolia,42%,58%
Saint Lucia,67%,33%
Kajmany,53%,47%
Turkmenistan,64%,36%
Turks i Caicos,58%,42%
Saint Vincent i Grenadyny,70%,30%
Bahrajn,45%,55%
Grenada,66%,34%
Nikaragua,56%,44%
Macedonia Północna,47%,53%
Kuwejt,39%,61%
Makau,33%,67%
Słowenia,39%,61%
Antigua i Barbuda,63%,37%
Brytyjskie Wyspy Dziewicze,63%,37%
Wyspy Cooka,50%,50%
Barbados,59%,41%
Bahamy,60%,40%
Tajwan,35%,65%
Aruba,51%,49%
Mołdawia,51%,49%
Madagaskar,67%,33%
Reunion,61%,39%
Bułgaria,45%,55%
Iran,48%,52%
Peru,49%,51%
Liechtenstein,37%,63%
Egipt,34%,66%
Kolumbia,49%,51%
Saint-Barthélemy,55%,45%
Mauretania,68%,32%
Bośnia i Hercegowina,46%,54%
Komory,72%,28%
Malezja,43%,57%
Pakistan,41%,59%
Boliwia,50%,50%
Curaçao,55%,45%
Bermudy,54%,46%
Republika Południowej Afryki,56%,44%
Jordania,49%,51%
Ekwador,53%,47%
Uzbekistan,52%,48%
Filipiny,49%,51%
Gwatemala,48%,52%
Nowa Kaledonia,46%,54%
Wyspy Świętego Tomasza i Książęca,100%,
Bangladesz,35%,65%
Bhutan,37%,63%
Gwinea Równikowa,76%,24%
Samoa Amerykańskie,51%,49%
Sint Maarten,56%,44%
Mjanma (Birma),33%,67%
Oman,44%,56%
Gujana Francuska,69%,31%
Maroko,47%,53%
Niderlandy Karaibskie,54%,46%
Wenezuela,53%,47%
Kongo,80%,20%
Wyspa Świętej Heleny,43%,57%
Tunezja,51%,49%
Korea Południowa,25%,75%
Martynika,56%,44%
Jamajka,64%,36%
Tonga,61%,39%
Samoa,46%,54%
Arabia Saudyjska,43%,57%
Fidżi,54%,46%
Vanuatu,58%,42%
Algieria,58%,42%
Tadżykistan,63%,37%
Dominika,53%,47%
Surinam,56%,44%
Majotta,66%,34%
Palestyna,53%,47%
Zimbabwe,44%,56%
Dominikana,51%,49%
Wyspy Salomona,55%,45%
Gwadelupa,57%,43%
Gabon,72%,28%
Sahara Zachodnia,32%,68%
Gwinea Bissau,78%,22%
Sierra Leone,72%,28%
Republika Zielonego Przylądka,53%,47%
Gambia,78%,22%
Irak,46%,54%
Botswana,46%,54%
Dżibuti,47%,53%
Namibia,51%,49%
Libia,56%,44%
Papua-Nowa Gwinea,55%,45%
Afganistan,41%,59%
Zambia,50%,50%
Eswatini,53%,47%
Indonezja,49%,51%
Kenia,41%,59%
Liberia,71%,29%
Nigeria,52%,48%
Tajlandia,35%,65%
Gwinea,69%,31%
Etiopia,38%,62%
Syria,50%,50%
Malawi,43%,57%
Senegal,63%,37%
Haiti,68%,32%
Togo,67%,33%
Kambodża,40%,60%
Demokratyczna Republika Konga,73%,27%
Rwanda,45%,55%
Tanzania,38%,62%
Angola,48%,52%
Somalia,39%,61%
Ghana,47%,53%
Kamerun,64%,36%
Uganda,45%,55%
Mozambik,46%,54%
Jemen,46%,54%
Sudan Południowy,35%,65%
Benin,63%,37%
Japonia,30%,70%
Timor Wschodni,72%,28%
Wietnam,23%,77%
Côte d’Ivoire,68%,32%
Lesotho,50%,50%
Burundi,54%,46%
Mali,75%,25%
Niger,67%,33%
Laos,46%,54%
Sudan,44%,56%
Burkina Faso,69%,31%
Czad,54%,46%
Palau,,
Anguilla,,
Falklandy (Malwiny),,
Erytrea,,
Wyspa Bożego Narodzenia,,
Mikronezja,,
Tuvalu,,
Wyspy Heard i McDonalda,,
Brytyjskie Terytorium Oceanu Indyjskiego,,
Saint-Pierre i Miquelon,,
Kiribati,,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,,
Svalbard i Jan Mayen,,
Wyspy Kokosowe,,
Republika Środkowoafrykańska,,
Watykan,,
Wyspa Bouveta,,
Monako,,
Georgia Południowa i Sandwich Południowy,,
Montserrat,,
Norfolk,,
Niue,,
Wallis i Futuna,,
Francuskie Terytoria Południowe i Antarktyczne,,
Antarktyda,,
Korea Północna,,
Nauru,,
Pitcairn,,
Tokelau,,
