Kategoria: Wszystko

Miesiąc,Barbie: (Cały świat)
2004-01,32
2004-02,32
2004-03,31
2004-04,31
2004-05,28
2004-06,31
2004-07,34
2004-08,34
2004-09,31
2004-10,37
2004-11,40
2004-12,47
2005-01,39
2005-02,39
2005-03,39
2005-04,40
2005-05,39
2005-06,41
2005-07,48
2005-08,48
2005-09,46
2005-10,51
2005-11,52
2005-12,64
2006-01,54
2006-02,55
2006-03,54
2006-04,60
2006-05,52
2006-06,58
2006-07,61
2006-08,60
2006-09,63
2006-10,66
2006-11,61
2006-12,74
2007-01,68
2007-02,72
2007-03,75
2007-04,69
2007-05,69
2007-06,73
2007-07,78
2007-08,77
2007-09,73
2007-10,73
2007-11,75
2007-12,86
2008-01,75
2008-02,74
2008-03,71
2008-04,63
2008-05,68
2008-06,68
2008-07,69
2008-08,68
2008-09,62
2008-10,62
2008-11,64
2008-12,74
2009-01,65
2009-02,64
2009-03,64
2009-04,60
2009-05,60
2009-06,62
2009-07,69
2009-08,70
2009-09,67
2009-10,65
2009-11,69
2009-12,81
2010-01,66
2010-02,65
2010-03,63
2010-04,65
2010-05,63
2010-06,67
2010-07,67
2010-08,65
2010-09,59
2010-10,60
2010-11,63
2010-12,72
2011-01,64
2011-02,58
2011-03,54
2011-04,59
2011-05,51
2011-06,59
2011-07,65
2011-08,67
2011-09,61
2011-10,67
2011-11,71
2011-12,83
2012-01,73
2012-02,63
2012-03,61
2012-04,62
2012-05,62
2012-06,61
2012-07,66
2012-08,62
2012-09,59
2012-10,59
2012-11,63
2012-12,64
2013-01,53
2013-02,57
2013-03,57
2013-04,54
2013-05,52
2013-06,55
2013-07,65
2013-08,56
2013-09,50
2013-10,49
2013-11,53
2013-12,62
2014-01,53
2014-02,47
2014-03,49
2014-04,50
2014-05,46
2014-06,50
2014-07,52
2014-08,49
2014-09,41
2014-10,42
2014-11,47
2014-12,51
2015-01,44
2015-02,39
2015-03,38
2015-04,39
2015-05,35
2015-06,39
2015-07,39
2015-08,37
2015-09,36
2015-10,33
2015-11,35
2015-12,40
2016-01,37
2016-02,34
2016-03,31
2016-04,29
2016-05,29
2016-06,29
2016-07,32
2016-08,29
2016-09,26
2016-10,27
2016-11,30
2016-12,35
2017-01,28
2017-02,24
2017-03,23
2017-04,21
2017-05,19
2017-06,21
2017-07,23
2017-08,22
2017-09,19
2017-10,19
2017-11,22
2017-12,26
2018-01,19
2018-02,18
2018-03,21
2018-04,18
2018-05,17
2018-06,19
2018-07,19
2018-08,20
2018-09,18
2018-10,20
2018-11,22
2018-12,25
2019-01,19
2019-02,18
2019-03,19
2019-04,17
2019-05,16
2019-06,18
2019-07,18
2019-08,18
2019-09,17
2019-10,17
2019-11,19
2019-12,20
2020-01,15
2020-02,14
2020-03,15
2020-04,18
2020-05,18
2020-06,18
2020-07,18
2020-08,19
2020-09,17
2020-10,20
2020-11,24
2020-12,23
2021-01,17
2021-02,14
2021-03,14
2021-04,15
2021-05,14
2021-06,14
2021-07,14
2021-08,14
2021-09,13
2021-10,14
2021-11,15
2021-12,16
2022-01,13
2022-02,12
2022-03,11
2022-04,11
2022-05,11
2022-06,12
2022-07,12
2022-08,13
2022-09,14
2022-10,14
2022-11,14
2022-12,17
2023-01,13
2023-02,12
2023-03,12
2023-04,20
2023-05,16
2023-06,16
2023-07,100
2023-08,55
2023-09,27
2023-10,23
2023-11,21
2023-12,24
2024-01,18
2024-02,15
2024-03,15
2024-04,14
2024-05,14
2024-06,13
2024-07,14
2024-08,14
2024-09,14
2024-10,14
2024-11,15
2024-12,17
2025-01,12
2025-02,11
2025-03,11
2025-04,12
2025-05,11
2025-06,11
2025-07,12
2025-08,11
2025-09,10
2025-10,11
2025-11,13
2025-12,14
