Kategoria: Wszystko

Miesiąc,Hot Wheels: (Cały świat),Scrabble: (Cały świat),Monster High: (Cały świat),UNO: (Cały świat),Barbie: (Cały świat)
2004-01,3,7,0,4,32
2004-02,3,5,0,3,31
2004-03,3,5,0,3,31
2004-04,2,5,0,4,29
2004-05,3,5,0,4,29
2004-06,2,5,0,3,29
2004-07,3,5,0,3,33
2004-08,3,5,0,4,33
2004-09,3,5,0,3,31
2004-10,3,5,0,4,36
2004-11,4,6,0,4,39
2004-12,4,7,0,4,47
2005-01,3,6,0,3,36
2005-02,3,5,0,3,38
2005-03,3,5,0,4,39
2005-04,3,4,0,4,39
2005-05,3,4,0,4,38
2005-06,3,4,0,4,39
2005-07,3,5,0,3,44
2005-08,3,5,0,4,47
2005-09,3,4,0,4,44
2005-10,3,5,0,4,49
2005-11,4,5,0,4,54
2005-12,5,7,0,4,64
2006-01,3,6,0,4,52
2006-02,3,5,0,4,53
2006-03,3,4,0,4,52
2006-04,3,4,0,4,57
2006-05,3,4,0,4,52
2006-06,3,4,0,4,57
2006-07,3,5,0,4,58
2006-08,4,5,0,4,58
2006-09,4,5,0,4,59
2006-10,4,4,0,4,61
2006-11,5,5,0,4,63
2006-12,6,7,0,4,73
2007-01,4,6,0,5,64
2007-02,4,5,0,5,69
2007-03,4,4,<1,4,71
2007-04,4,4,0,4,70
2007-05,4,4,0,4,65
2007-06,4,4,0,5,69
2007-07,4,6,0,4,80
2007-08,4,8,0,4,74
2007-09,4,10,0,5,69
2007-10,4,12,0,4,72
2007-11,5,14,0,5,71
2007-12,6,15,0,5,83
2008-01,4,15,0,5,75
2008-02,4,14,0,5,74
2008-03,4,13,0,5,73
2008-04,4,11,0,4,64
2008-05,4,9,0,4,64
2008-06,4,9,<1,5,65
2008-07,4,9,<1,5,68
2008-08,4,8,0,5,65
2008-09,4,6,<1,5,60
2008-10,4,6,<1,5,60
2008-11,5,7,<1,5,63
2008-12,5,9,<1,5,72
2009-01,4,9,<1,5,65
2009-02,4,9,0,5,63
2009-03,4,8,0,5,62
2009-04,4,8,0,5,60
2009-05,4,8,<1,5,59
2009-06,4,8,0,6,62
2009-07,4,8,<1,6,68
2009-08,5,9,0,6,68
2009-09,4,8,0,6,60
2009-10,4,8,<1,6,64
2009-11,5,9,<1,6,64
2009-12,5,10,<1,7,77
2010-01,4,11,<1,6,64
2010-02,4,11,<1,6,64
2010-03,4,10,<1,6,62
2010-04,3,11,<1,6,61
2010-05,4,10,<1,7,62
2010-06,3,10,<1,6,64
2010-07,3,12,<1,6,65
2010-08,3,13,3,7,63
2010-09,3,12,2,6,57
2010-10,4,12,3,7,58
2010-11,4,14,4,7,61
2010-12,5,15,4,7,71
2011-01,3,18,3,8,61
2011-02,3,17,2,6,57
2011-03,3,21,2,7,54
2011-04,3,23,3,7,56
2011-05,3,22,3,7,49
2011-06,3,22,4,7,57
2011-07,3,21,4,7,62
2011-08,3,23,5,7,61
2011-09,3,22,6,6,59
2011-10,4,23,9,7,66
2011-11,4,23,13,7,68
2011-12,5,27,17,7,80
2012-01,3,32,13,7,69
2012-02,3,27,15,7,61
2012-03,3,28,13,6,62
2012-04,4,24,15,6,62
2012-05,3,19,14,6,59
2012-06,3,18,14,6,59
2012-07,4,17,16,7,67
2012-08,3,16,16,6,62
2012-09,3,14,15,6,59
2012-10,3,16,20,6,56
2012-11,4,17,21,7,62
2012-12,5,17,24,7,61
2013-01,3,17,22,6,54
2013-02,3,18,20,6,54
2013-03,3,17,21,6,57
2013-04,3,15,19,6,52
2013-05,3,13,18,6,51
2013-06,3,12,19,6,53
2013-07,3,13,19,6,61
2013-08,3,12,19,6,57
2013-09,3,10,18,6,49
2013-10,3,9,23,6,47
2013-11,3,10,22,6,53
2013-12,4,10,24,6,60
2014-01,3,10,19,6,48
2014-02,2,9,17,6,47
2014-03,2,8,16,6,47
2014-04,3,8,15,5,47
2014-05,3,8,14,5,46
2014-06,2,7,14,6,48
2014-07,3,8,15,6,52
2014-08,3,8,14,6,48
2014-09,3,7,12,6,40
2014-10,3,7,16,6,41
2014-11,4,8,14,6,44
2014-12,5,9,15,6,48
2015-01,3,9,13,6,42
2015-02,3,8,12,6,39
2015-03,3,7,11,6,38
2015-04,3,8,10,6,36
2015-05,3,6,8,6,35
2015-06,3,6,8,6,37
2015-07,3,7,9,6,38
2015-08,3,6,8,6,36
2015-09,3,6,8,6,34
2015-10,3,6,10,6,32
2015-11,4,7,9,6,34
2015-12,5,8,9,7,40
2016-01,3,8,8,7,36
2016-02,3,7,7,6,32
2016-03,3,7,6,6,30
2016-04,3,7,5,6,27
2016-05,3,6,5,6,27
2016-06,2,6,4,7,29
2016-07,3,6,5,6,30
2016-08,2,7,4,6,28
2016-09,3,6,4,6,26
2016-10,3,6,5,6,25
2016-11,4,7,3,3,28
2016-12,5,8,3,3,34
2017-01,3,8,3,3,26
2017-02,3,7,3,2,23
2017-03,3,7,3,3,23
2017-04,3,7,3,2,20
2017-05,3,7,2,2,18
2017-06,3,8,2,2,20
2017-07,3,8,3,3,23
2017-08,3,9,2,3,21
2017-09,3,8,2,3,18
2017-10,3,9,2,2,18
2017-11,5,8,2,3,21
2017-12,6,11,2,3,25
2018-01,3,12,2,3,18
2018-02,3,11,2,3,18
2018-03,3,11,2,3,19
2018-04,3,11,1,3,17
2018-05,3,11,1,3,17
2018-06,3,10,2,3,18
2018-07,3,11,2,3,19
2018-08,3,12,2,4,19
2018-09,3,11,1,4,17
2018-10,4,10,1,4,18
2018-11,5,11,1,6,21
2018-12,6,13,1,7,25
2019-01,4,13,1,4,18
2019-02,3,12,1,4,17
2019-03,3,12,1,4,18
2019-04,3,12,1,4,17
2019-05,3,11,1,4,16
2019-06,3,11,1,4,18
2019-07,3,11,1,5,17
2019-08,4,12,1,5,18
2019-09,3,11,1,4,17
2019-10,4,11,1,4,16
2019-11,6,11,1,4,19
2019-12,7,12,1,6,20
2020-01,4,12,1,6,15
2020-02,4,11,1,5,13
2020-03,3,17,1,7,15
2020-04,4,24,1,7,18
2020-05,4,19,1,5,18
2020-06,4,16,1,4,18
2020-07,4,14,1,5,19
2020-08,4,13,1,5,18
2020-09,4,11,1,4,16
2020-10,5,12,2,4,18
2020-11,6,14,2,4,22
2020-12,8,15,1,5,23
2021-01,5,15,1,5,15
2021-02,4,14,1,4,14
2021-03,4,13,1,4,14
2021-04,4,13,1,4,14
2021-05,4,12,1,5,14
2021-06,4,11,1,4,13
2021-07,5,11,1,4,13
2021-08,5,12,1,5,13
2021-09,5,10,1,4,12
2021-10,6,10,2,4,13
2021-11,7,11,1,4,14
2021-12,8,12,1,5,15
2022-01,5,13,1,6,12
2022-02,5,12,1,5,11
2022-03,5,11,1,4,11
2022-04,5,11,2,4,11
2022-05,4,9,2,4,11
2022-06,5,9,2,5,12
2022-07,5,10,3,5,12
2022-08,5,10,2,4,13
