Kategoria: Wszystko

Miesiąc,Hot Wheels: (Cały świat),Scrabble: (Cały świat),Monster High: (Cały świat),UNO: (Cały świat)
2004-01,9,22,0,12
2004-02,9,16,0,11
2004-03,9,17,0,11
2004-04,8,17,0,11
2004-05,8,15,0,11
2004-06,8,15,0,11
2004-07,9,16,0,11
2004-08,10,17,0,11
2004-09,9,15,0,11
2004-10,11,15,0,12
2004-11,12,18,0,12
2004-12,14,22,0,12
2005-01,9,20,0,11
2005-02,9,15,0,11
2005-03,9,17,0,11
2005-04,9,13,0,11
2005-05,8,13,0,11
2005-06,8,14,0,11
2005-07,9,15,0,11
2005-08,10,16,0,12
2005-09,9,14,0,14
2005-10,10,14,0,11
2005-11,13,17,0,14
2005-12,15,20,0,13
2006-01,9,18,0,13
2006-02,8,15,0,11
2006-03,9,13,0,13
2006-04,9,13,0,12
2006-05,9,12,0,12
2006-06,8,12,0,12
2006-07,10,15,0,12
2006-08,11,16,0,12
2006-09,11,14,0,13
2006-10,14,14,0,12
2006-11,17,17,0,14
2006-12,19,22,0,14
2007-01,11,18,0,14
2007-02,12,16,0,14
2007-03,13,14,<1,14
2007-04,12,13,0,13
2007-05,11,12,0,14
2007-06,13,14,0,15
2007-07,13,20,0,14
2007-08,13,27,0,14
2007-09,13,30,0,14
2007-10,14,37,0,13
2007-11,16,43,0,15
2007-12,18,48,0,14
2008-01,13,47,0,15
2008-02,13,43,0,15
2008-03,13,41,0,14
2008-04,13,35,0,14
2008-05,13,29,0,14
2008-06,12,28,<1,14
2008-07,13,28,<1,16
2008-08,14,26,0,15
2008-09,12,20,<1,15
2008-10,12,20,<1,15
2008-11,14,23,<1,16
2008-12,16,28,<1,17
2009-01,13,28,<1,17
2009-02,12,28,0,15
2009-03,12,26,0,16
2009-04,13,26,0,16
2009-05,13,26,<1,17
2009-06,12,24,0,17
2009-07,13,25,<1,18
2009-08,14,27,0,20
2009-09,12,25,0,20
2009-10,14,26,<1,19
2009-11,16,28,<1,20
2009-12,17,32,<1,21
2010-01,11,35,<1,20
2010-02,12,35,<1,20
2010-03,11,32,<1,19
2010-04,11,35,<1,19
2010-05,11,31,<1,21
2010-06,10,30,1,20
2010-07,11,38,1,20
2010-08,10,41,9,20
2010-09,11,37,5,20
2010-10,12,37,9,21
2010-11,13,42,12,21
2010-12,15,46,12,23
2011-01,10,56,8,23
2011-02,9,54,8,20
2011-03,10,66,7,21
2011-04,10,72,10,21
2011-05,11,67,9,21
2011-06,10,67,11,21
2011-07,10,65,12,22
2011-08,10,71,16,21
2011-09,11,68,19,20
2011-10,12,72,29,21
2011-11,14,73,42,22
2011-12,15,83,53,22
2012-01,11,100,39,22
2012-02,10,86,46,21
2012-03,10,86,41,20
