Kategoria: Wszystko

Miesiąc,Barbie: (Cały świat)
2015-01,42
2015-02,39
2015-03,38
2015-04,36
2015-05,35
2015-06,37
2015-07,38
2015-08,36
2015-09,34
2015-10,32
2015-11,34
2015-12,40
2016-01,36
2016-02,32
2016-03,30
2016-04,27
2016-05,27
2016-06,29
2016-07,30
2016-08,28
2016-09,26
2016-10,25
2016-11,28
2016-12,34
2017-01,26
2017-02,23
2017-03,23
2017-04,20
2017-05,18
2017-06,20
2017-07,23
2017-08,21
2017-09,18
2017-10,18
2017-11,21
2017-12,25
2018-01,18
2018-02,18
2018-03,19
2018-04,17
2018-05,17
2018-06,18
2018-07,19
2018-08,19
2018-09,17
2018-10,18
2018-11,21
2018-12,25
2019-01,18
2019-02,17
2019-03,18
2019-04,17
2019-05,16
2019-06,18
2019-07,17
2019-08,18
2019-09,17
2019-10,16
2019-11,19
2019-12,20
2020-01,15
2020-02,13
2020-03,15
2020-04,18
2020-05,18
2020-06,18
2020-07,19
2020-08,18
2020-09,16
2020-10,18
2020-11,22
2020-12,23
2021-01,15
2021-02,14
2021-03,14
2021-04,14
2021-05,14
2021-06,13
2021-07,13
2021-08,13
2021-09,12
2021-10,13
2021-11,14
2021-12,15
2022-01,12
2022-02,11
2022-03,11
2022-04,11
2022-05,11
2022-06,12
2022-07,12
2022-08,13
2022-09,14
2022-10,13
2022-11,14
2022-12,17
2023-01,12
2023-02,12
2023-03,12
2023-04,20
2023-05,15
2023-06,16
2023-07,100
2023-08,51
2023-09,26
2023-10,22
2023-11,20
2023-12,23
